season_id,season,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xwobacon,barrels_bbe,barrels_pa,xba,hits,abs,launch_speed,launch_angle
2021521692,2021,521692,"Perez, Salvador",2392,100,0.273,0.271,0.298,0.544,0.359,0.374,0.487,0.16,0.11,0.276,169,620,93,15.9
2021527038,2021,527038,"Flores, Wilmer",1727,100,0.262,0.185,0.264,0.447,0.337,0.312,0.313,0.06,0.05,0.238,102,389,88.6,18
2021541645,2021,541645,"García, Avisaíl",1756,100,0.262,0.228,0.291,0.49,0.346,0.366,0.452,0.12,0.08,0.278,121,461,90.4,9.3
2021542303,2021,542303,"Ozuna, Marcell",758,100,0.213,0.144,0.244,0.356,0.284,0.347,0.41,0.10,0.07,0.268,40,188,89.7,14.5
2021542340,2021,542340,"Villar, Jonathan",1967,100,0.249,0.167,0.313,0.416,0.32,0.307,0.377,0.07,0.05,0.235,113,454,87.1,6.5
2021542364,2021,542364,"Ortega, Rafael",1337,100,0.291,0.172,0.349,0.463,0.355,0.311,0.355,0.06,0.04,0.252,86,296,87.2,17.4
2021542583,2021,542583,"Aguilar, Jesús",2066,100,0.261,0.198,0.279,0.459,0.334,0.334,0.375,0.08,0.06,0.26,117,449,89.6,19
2021542932,2021,542932,"Berti, Jon",1138,100,0.21,0.103,0.265,0.313,0.282,0.302,0.329,0.02,0.01,0.233,49,233,86.8,1.7
2021543063,2021,543063,"Crawford, Brandon",2136,100,0.298,0.224,0.334,0.522,0.377,0.356,0.405,0.11,0.08,0.259,144,483,88.6,14.6
2021543068,2021,543068,"Cron, C.J.",2191,100,0.281,0.249,0.316,0.53,0.383,0.364,0.418,0.11,0.07,0.261,132,470,88.8,15.8
2021543105,2021,543105,"Dickerson, Alex",1229,100,0.233,0.187,0.273,0.42,0.313,0.337,0.412,0.10,0.07,0.261,66,283,87.4,17
2021543228,2021,543228,"Gomes, Yan",1348,100,0.252,0.169,0.287,0.421,0.308,0.341,0.409,0.09,0.06,0.28,88,349,89.6,14.1
2021543257,2021,543257,"Grossman, Robbie",2817,100,0.239,0.176,0.286,0.415,0.337,0.334,0.371,0.08,0.05,0.234,133,557,87.3,20.5
2021543281,2021,543281,"Harrison, Josh",1877,100,0.279,0.121,0.313,0.4,0.325,0.333,0.349,0.04,0.03,0.278,141,505,87,14.6
2021543309,2021,543309,"Higashioka, Kyle",816,100,0.181,0.207,0.2,0.389,0.272,0.343,0.451,0.16,0.10,0.233,35,193,90.5,21.7
2021543333,2021,543333,"Hosmer, Eric",2200,100,0.269,0.126,0.313,0.395,0.319,0.326,0.359,0.06,0.04,0.268,137,509,90.3,3
2021543510,2021,543510,"McCann, James",1623,100,0.232,0.117,0.304,0.349,0.281,0.284,0.357,0.06,0.04,0.224,87,375,87.1,9.1
2021543543,2021,543543,"Miller, Brad",1525,100,0.227,0.227,0.276,0.453,0.331,0.345,0.451,0.12,0.07,0.247,75,331,92.1,12.6
2021543592,2021,543592,"Nola, Austin",694,100,0.272,0.104,0.292,0.376,0.316,0.301,0.289,0.01,0.01,0.255,47,173,89.7,14.8
2021543685,2021,543685,"Rendon, Anthony",948,100,0.24,0.143,0.267,0.382,0.31,0.303,0.312,0.06,0.04,0.233,52,217,89.1,22.4
2021543760,2021,543760,"Semien, Marcus",2923,100,0.265,0.273,0.276,0.538,0.368,0.333,0.38,0.10,0.07,0.245,173,652,89.7,20.4
2021543768,2021,543768,"Shaw, Travis",1048,100,0.2,0.173,0.243,0.373,0.289,0.301,0.365,0.09,0.06,0.215,44,220,86.8,18.8
2021543807,2021,543807,"Springer, George",1328,100,0.264,0.291,0.286,0.555,0.381,0.361,0.43,0.15,0.10,0.248,79,299,89.4,19
2021543877,2021,543877,"Vázquez, Christian",1947,100,0.258,0.094,0.301,0.352,0.289,0.276,0.298,0.03,0.02,0.235,118,458,86,13.5
2021543939,2021,543939,"Wong, Kolten",1815,100,0.272,0.175,0.305,0.447,0.337,0.308,0.331,0.05,0.04,0.251,121,445,87.4,12.5
2021544369,2021,544369,"Gregorius, Didi",1580,100,0.209,0.16,0.217,0.37,0.275,0.275,0.291,0.02,0.02,0.225,77,368,85.8,18.3
2021544725,2021,544725,"García, Leury",1672,100,0.267,0.108,0.333,0.376,0.312,0.291,0.322,0.03,0.02,0.24,111,415,84,3.4
2021545341,2021,545341,"Grichuk, Randal",2004,100,0.241,0.182,0.266,0.423,0.3,0.297,0.352,0.08,0.06,0.234,123,511,89.8,16.2
2021545350,2021,545350,"Marisnick, Jake",727,100,0.216,0.159,0.306,0.375,0.287,0.259,0.336,0.06,0.04,0.196,38,176,87.3,14.3
2021545358,2021,545358,"Stassi, Max",1270,100,0.241,0.184,0.325,0.426,0.327,0.323,0.428,0.11,0.06,0.232,68,282,89.9,11.1
2021546318,2021,546318,"Herrera, Odúbel",1938,100,0.26,0.156,0.285,0.416,0.312,0.302,0.327,0.05,0.04,0.252,117,450,87.7,6.4
2021547180,2021,547180,"Harper, Bryce",2401,100,0.309,0.305,0.359,0.615,0.431,0.43,0.523,0.18,0.11,0.301,151,488,91.1,12.9
2021547379,2021,547379,"Pérez, Roberto",695,100,0.149,0.17,0.179,0.319,0.251,0.299,0.413,0.13,0.07,0.202,21,141,87.9,6.2
2021547989,2021,547989,"Abreu, José",2606,100,0.261,0.219,0.293,0.481,0.354,0.349,0.4,0.10,0.07,0.252,148,566,92,10.4
2021553869,2021,553869,"Díaz, Elias",1307,100,0.246,0.219,0.249,0.464,0.33,0.318,0.345,0.08,0.06,0.247,83,338,87.1,14.6
2021553882,2021,553882,"Narváez, Omar",1625,100,0.266,0.136,0.308,0.402,0.322,0.304,0.328,0.05,0.04,0.235,104,391,84.6,17.9
2021553902,2021,553902,"Astudillo, Willians",614,100,0.236,0.139,0.221,0.375,0.272,0.28,0.282,0.04,0.04,0.251,49,208,85.9,16.8
2021553993,2021,553993,"Suárez, Eugenio",2391,100,0.198,0.23,0.224,0.428,0.306,0.326,0.42,0.15,0.09,0.215,100,505,89.1,18.3
2021570256,2021,570256,"Polanco, Gregory",1551,100,0.208,0.146,0.258,0.354,0.275,0.316,0.397,0.10,0.06,0.232,70,336,89.5,15.2
2021570481,2021,570481,"González, Erik",807,100,0.232,0.068,0.274,0.3,0.244,0.277,0.32,0.03,0.03,0.255,51,220,87,0.1
2021570482,2021,570482,"Urshela, Gio",1697,100,0.267,0.152,0.329,0.419,0.309,0.304,0.384,0.08,0.06,0.252,112,420,88.9,7.5
2021570731,2021,570731,"Schoop, Jonathan",2588,100,0.278,0.157,0.317,0.435,0.324,0.311,0.361,0.07,0.05,0.258,173,623,88.1,10.7
